0000000651,scans,0000000134,DataLength
"header",0000000027,"lines"
"Date",21/01/2022,"Time",01:02:33
"ID","HAL RC RGA 201 #15189","Version",3
"Scans",8
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",2.00,2.00,0.01,100.000%,100.000%,0.440000,1.000000,
"Scan 2","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,0.140000,1.000000,
"Scan 3","RGA","Faraday","mass",14.00,14.00,0.01,100.000%,100.000%,0.072000,1.000000,
"Scan 4","RGA","SEM","mass",15.00,15.00,0.01,100.000%,100.000%,1.373000,1.000000,
"Scan 5","RGA","Faraday","mass",17.00,17.00,0.01,100.000%,100.000%,0.207000,1.000000,
"Scan 6","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.050000,1.000000,
"Scan 7","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,0.860000,1.000000,
"Scan 8","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",250.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",870,"V"
"resolution",0,"%"
"Data",8
00:38:45,   2325735,  1.46285e-05,  2.64006e-08,  1.35271e-06,  5.75659e-10,  1.44309e-07,  1.72575e-06,  3.88623e-07,  3.64172e-09,
00:39:42,   2382457,  1.46163e-05,  2.62084e-08,  1.35121e-06,  5.74338e-10,  1.44211e-07,  1.72511e-06,  3.88999e-07,  3.61044e-09,
00:40:39,   2439201,  1.46530e-05,  2.74588e-08,  1.35420e-06,  6.00009e-10,  1.44891e-07,  1.72255e-06,  3.88623e-07,  3.64024e-09,
00:41:35,   2495947,  1.46652e-05,  2.60622e-08,  1.34823e-06,  7.84188e-10,  1.44278e-07,  1.71807e-06,  3.88499e-07,  3.29732e-09,
00:42:32,   2552691,  1.46988e-05,  2.73261e-08,  1.36017e-06,  1.88448e-09,  1.44699e-07,  1.72574e-06,  3.89374e-07,  2.71724e-09,
00:43:28,   2608568,  1.47064e-05,  2.70794e-08,  1.35868e-06,  2.98257e-09,  1.45472e-07,  1.72639e-06,  3.90249e-07,  2.21152e-09,
00:44:24,   2664445,  1.46865e-05,  2.65817e-08,  1.36614e-06,  3.56147e-09,  1.47778e-07,  1.72575e-06,  3.89249e-07,  2.13737e-09,
00:45:20,   2720323,  1.47079e-05,  2.70146e-08,  1.36316e-06,  4.14918e-09,  1.47971e-07,  1.73535e-06,  3.89374e-07,  2.07724e-09,
00:46:16,   2776200,  1.46957e-05,  2.63451e-08,  1.36316e-06,  5.08384e-09,  1.49206e-07,  1.72574e-06,  3.89249e-07,  2.03832e-09,
00:47:12,   2832056,  1.47217e-05,  2.64285e-08,  1.36764e-06,  5.18171e-09,  1.49918e-07,  1.73470e-06,  3.88873e-07,  2.06873e-09,
00:48:07,   2887933,  1.47400e-05,  2.68545e-08,  1.36465e-06,  4.52353e-09,  1.50770e-07,  1.72574e-06,  3.88999e-07,  2.06594e-09,
00:49:03,   2943810,  1.47217e-05,  2.64585e-08,  1.36166e-06,  3.90206e-09,  1.53262e-07,  1.73279e-06,  3.90123e-07,  2.00149e-09,
00:49:59,   2999687,  1.47492e-05,  2.62244e-08,  1.36316e-06,  3.61334e-09,  1.54431e-07,  1.72958e-06,  3.89499e-07,  2.07270e-09,
00:50:55,   3055563,  1.47995e-05,  2.68580e-08,  1.36166e-06,  3.32610e-09,  1.55147e-07,  1.71999e-06,  3.88373e-07,  1.99064e-09,
00:51:51,   3111440,  1.47904e-05,  2.66730e-08,  1.35868e-06,  3.07115e-09,  1.54758e-07,  1.72383e-06,  3.88873e-07,  2.05749e-09,
00:52:47,   3167317,  1.48057e-05,  2.66009e-08,  1.36465e-06,  2.96642e-09,  1.55698e-07,  1.72958e-06,  3.88623e-07,  2.03321e-09,
00:53:43,   3223193,  1.48133e-05,  2.67726e-08,  1.36017e-06,  2.92777e-09,  1.56124e-07,  1.72767e-06,  3.88249e-07,  1.96026e-09,
00:54:39,   3279048,  1.48087e-05,  2.75798e-08,  1.35569e-06,  2.78047e-09,  1.55864e-07,  1.73279e-06,  3.88873e-07,  1.96961e-09,
00:55:34,   3334925,  1.48484e-05,  2.66589e-08,  1.35868e-06,  2.66940e-09,  1.55147e-07,  1.72703e-06,  3.88123e-07,  1.98996e-09,
00:56:30,   3390802,  1.47812e-05,  2.69256e-08,  1.35868e-06,  2.59990e-09,  1.54659e-07,  1.72448e-06,  3.88623e-07,  1.99304e-09,
00:57:26,   3446678,  1.48285e-05,  2.66606e-08,  1.35569e-06,  2.46240e-09,  1.52941e-07,  1.72704e-06,  3.88123e-07,  2.05600e-09,
00:58:22,   3502555,  1.48163e-05,  2.64924e-08,  1.35569e-06,  2.32440e-09,  1.51351e-07,  1.73407e-06,  3.87374e-07,  1.92977e-09,
00:59:18,   3558433,  1.47476e-05,  2.60034e-08,  1.35718e-06,  2.25540e-09,  1.50245e-07,  1.72383e-06,  3.86624e-07,  1.97421e-09,
