,file_name,rw,Al2O3_Al1_Biso,Al2O3_Al2_Biso,Al2O3_Al3_Biso,Al2O3_O1_Biso,Al2O3_a,Al2O3_c,Al2O3_delta2,Al2O3_psize,Al2O3_scale,NiO_Ni0_Biso,NiO_O1_Biso,NiO_a,NiO_delta2,NiO_psize,NiO_scale,Ni_Ni0_Biso,Ni_O1_Biso,Ni_a,Ni_delta2,Ni_psize,Ni_scale
551,azint_UC1_Al2O3_2_0008_scan0021_pilatus_rm_NiO,0.31923164,0.544517282,3.42364569,1.29822535,1.75468958,5.65192904,7.85113614,2.70465188,60.788196,0.323620406,,,,,,,1.20603143,,3.55472018,3.5628763,50.2194791,0.170779648
552,azint_UC1_Al2O3_2_0008_scan0022_pilatus_rm_NiO,0.31486914,0.570346021,3.38730139,1.27691103,1.78123166,5.65240418,7.84998836,2.70472138,61.1892757,0.324672533,,,,,,,1.2037749,,3.5547686,3.65221059,50.8098713,0.168964323
553,azint_UC1_Al2O3_2_0008_scan0023_pilatus_rm_NiO,0.31205539,0.554510991,3.81960768,1.40726603,1.67506565,5.65158895,7.85206441,2.624537,59.9282089,0.33122909,,,,,,,1.1938035,,3.55465849,3.6042777,50.8134178,0.167900135
554,azint_UC1_Al2O3_2_0008_scan0024_pilatus_rm_NiO,0.31386215,0.549040454,3.49538948,1.32174936,1.76688243,5.65215715,7.8499239,2.62062148,60.5215885,0.329303346,,,,,,,1.19780689,,3.5547779,3.5742552,50.8719934,0.167632845
555,azint_UC1_Al2O3_2_0008_scan0025_pilatus_rm_NiO,0.31610924,0.538160003,3.4370585,1.27676369,1.74896117,5.65222946,7.84904033,2.70863779,61.3970424,0.322784629,,,,,,,1.19643308,,3.55443144,3.56231363,50.6657236,0.168825255
556,azint_UC1_Al2O3_2_0008_scan0026_pilatus_rm_NiO,0.31395568,0.549048847,3.73921436,1.37043054,1.66325226,5.65213687,7.84971178,2.64838436,60.74417,0.326956348,,,,,,,1.19394601,,3.55476293,3.6414546,50.7151437,0.167776206
557,azint_UC1_Al2O3_2_0008_scan0027_pilatus_rm_NiO,0.31732854,0.541498023,3.36320454,1.29161789,1.78310703,5.65218995,7.85127874,2.69991045,61.0309582,0.323637467,,,,,,,1.20441251,,3.55482053,3.66377898,50.7870138,0.167644085
558,azint_UC1_Al2O3_2_0008_scan0028_pilatus_rm_NiO,0.31462156,0.529270435,3.52451198,1.34357821,1.73439995,5.65250477,7.850088,2.6191155,60.4957911,0.328555177,,,,,,,1.19777806,,3.55490479,3.6893338,51.0272044,0.166641355
559,azint_UC1_Al2O3_2_0008_scan0029_pilatus_rm_NiO,0.31363704,0.552230152,3.58880292,1.29090121,1.74386108,5.65244634,7.84971617,2.64344718,60.6339972,0.328107526,,,,,,,1.1844439,,3.5546393,3.61996838,50.8332789,0.166737231
560,azint_UC1_Al2O3_2_0008_scan0030_pilatus_rm_NiO,0.31366468,0.549555691,3.54587992,1.30307323,1.75932483,5.65194905,7.85090926,2.64613091,60.3318676,0.328819711,,,,,,,1.19083348,,3.55479708,3.61345792,50.7277042,0.167160387
